,name,count,probability,cumulative_probability
1858,DARNELL,17775,0.0001197297192017795,0.12732943430499682
1857,PAZ,17776,0.00011973645505096104,0.12744917076004778
1856,HUMPHRIES,17785,0.00011979707769359486,0.12756896783774138
1855,WILKES,17797,0.00011987790788377328,0.12768884574562517
1854,LACEY,17811,0.00011997220977231476,0.12780881795539747
1853,GROSSMAN,17811,0.00011997220977231476,0.12792879016516978
1852,HAY,17824,0.0001200597758116747,0.12804884994098145
1851,KINCAID,17833,0.00012012039845430852,0.12816897033943575
1850,SUMNER,17837,0.00012014734185103466,0.12828911768128679
1849,DARBY,17854,0.00012026185128712076,0.12840937953257392
1848,DARLING,17855,0.00012026858713630229,0.1285296481197102
